ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12787389,JF348858,08/08/2022 11:15:00 AM,063XX S ARTESIAN AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0825,008,16,66,06,1161127,1862600,2022,11/12/2022 03:46:21 PM,41.778656405,-87.684846319,"(41.778656405, -87.684846319)"
12785372,JF346252,08/06/2022 06:00:00 AM,065XX S ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0831,008,17,66,08B,1156843,1861139,2022,11/12/2022 03:46:21 PM,41.774734785,-87.700591292,"(41.774734785, -87.700591292)"
12780494,JF340809,08/02/2022 12:02:00 AM,065XX S KEELER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0833,008,13,65,06,1149499,1860814,2022,11/12/2022 03:46:21 PM,41.773988053,-87.727521991,"(41.773988053, -87.727521991)"
12783956,JF344744,08/05/2022 03:30:00 AM,054XX S ARCHER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,0814,008,23,56,08B,1144801,1869688,2022,11/12/2022 03:46:21 PM,41.798429303,-87.744521435,"(41.798429303, -87.744521435)"
12784728,JF345734,08/04/2022 12:00:00 AM,032XX W 65TH PL,0850,THEFT,ATTEMPT THEFT,STREET,false,false,0831,008,17,66,06,1155973,1861013,2022,11/12/2022 03:46:21 PM,41.774406543,-87.703783989,"(41.774406543, -87.703783989)"
12783682,JF344480,05/25/2022 09:00:00 AM,052XX S LUNA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0814,008,14,56,11,1140247,1869402,2022,11/12/2022 03:46:21 PM,41.797728859,-87.761229144,"(41.797728859, -87.761229144)"
12788573,JF350262,06/20/2022 09:00:00 AM,056XX S NASHVILLE AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,0811,008,13,56,10,1133346,1866503,2022,11/12/2022 03:46:21 PM,41.789896723,-87.786604381,"(41.789896723, -87.786604381)"
12783868,JF344582,08/04/2022 10:03:00 PM,046XX S ST LOUIS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0821,008,14,58,15,1153905,1873673,2022,11/12/2022 03:46:21 PM,41.809188724,-87.711029059,"(41.809188724, -87.711029059)"
12782025,JF342300,08/03/2022 12:00:00 AM,066XX S PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,false,false,0833,008,13,65,14,1150850,1860070,2022,11/12/2022 03:46:21 PM,41.771920176,-87.722588794,"(41.771920176, -87.722588794)"
12784971,JF344188,08/04/2022 03:14:00 PM,081XX S KEDZIE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0834,008,18,70,04A,1156460,1850554,2022,11/12/2022 03:46:21 PM,41.745695613,-87.702279976,"(41.745695613, -87.702279976)"
12788849,JF350653,07/25/2022 11:00:00 AM,041XX W 52ND PL,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER COMMERCIAL TRANSPORTATION,false,false,0815,008,23,62,12,1149722,1869322,2022,11/12/2022 03:46:21 PM,41.797331027,-87.726484377,"(41.797331027, -87.726484377)"
12788535,JF350284,08/08/2022 09:00:00 PM,064XX S LOREL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0813,008,13,64,06,1141847,1861352,2022,11/12/2022 03:46:21 PM,41.775608913,-87.755559959,"(41.775608913, -87.755559959)"
12783530,JF344140,08/04/2022 10:30:00 AM,063XX S WESTERN AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,true,false,0825,008,16,66,10,1161460,1862589,2022,11/12/2022 03:46:21 PM,41.778619322,-87.683625816,"(41.778619322, -87.683625816)"
12785436,JF346291,08/05/2022 11:00:00 PM,067XX S ARTESIAN AVE,4210,KIDNAPPING,KIDNAPPING,ALLEY,false,false,0832,008,17,66,26,1161201,1859967,2022,11/12/2022 03:46:21 PM,41.771429553,-87.684647839,"(41.771429553, -87.684647839)"
12786860,JF348006,08/03/2022 03:00:00 PM,045XX S LEAMINGTON AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0814,008,22,56,05,1142787,1874094,2022,11/12/2022 03:46:21 PM,41.810557694,-87.751797976,"(41.810557694, -87.751797976)"
12782062,JF341313,08/02/2022 02:00:00 AM,071XX S CAMPBELL AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,false,false,0832,008,18,66,03,1160941,1857331,2022,11/12/2022 03:46:21 PM,41.764201367,-87.685673675,"(41.764201367, -87.685673675)"
12781396,JF341931,08/02/2022 03:20:00 PM,031XX W 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0835,008,18,70,08B,1156917,1852030,2022,11/12/2022 03:46:21 PM,41.749736787,-87.700565652,"(41.749736787, -87.700565652)"
12781228,JF341757,08/02/2022 04:30:00 PM,064XX S KEDZIE AVE,0460,BATTERY,SIMPLE,RESTAURANT,true,false,0823,008,17,66,08B,1156165,1861549,2022,11/12/2022 03:46:21 PM,41.775873548,-87.703065743,"(41.775873548, -87.703065743)"
12787645,JF349234,08/07/2022 07:54:00 PM,068XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,CONVENIENCE STORE,false,false,0832,008,17,66,06,1161552,1859338,2022,11/12/2022 03:46:21 PM,41.769696216,-87.68337861,"(41.769696216, -87.68337861)"
12785161,JF345163,08/05/2022 11:45:00 AM,063XX S CALIFORNIA AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,0823,008,17,66,08A,1158799,1862584,2022,11/12/2022 03:46:21 PM,41.778660358,-87.693381423,"(41.778660358, -87.693381423)"
12778363,JF338203,07/31/2022 02:30:00 AM,065XX S ROCKWELL ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,false,true,0831,008,17,66,04B,1160164,1861251,2022,11/12/2022 03:46:21 PM,41.774974433,-87.688413854,"(41.774974433, -87.688413854)"
12789654,JF351615,08/10/2022 01:15:00 PM,064XX S KEDZIE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,0823,008,17,66,06,1156159,1861798,2022,11/12/2022 03:46:21 PM,41.776556962,-87.703081049,"(41.776556962, -87.703081049)"
12790486,JF351460,07/30/2022 03:00:00 PM,052XX S PULASKI RD,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0815,008,23,62,06,1150587,1869670,2022,11/12/2022 03:46:21 PM,41.79826919,-87.723303209,"(41.79826919, -87.723303209)"
12778401,JF338191,07/31/2022 02:29:00 AM,065XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,0832,008,16,66,06,1161496,1861276,2022,11/12/2022 03:46:21 PM,41.775015522,-87.683530209,"(41.775015522, -87.683530209)"
12782184,JF342437,08/02/2022 05:00:00 PM,048XX S CICERO AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0815,008,14,56,05,1145175,1872047,2022,11/12/2022 03:46:21 PM,41.804895733,-87.743090475,"(41.804895733, -87.743090475)"
12783416,JF344071,08/04/2022 12:40:00 PM,062XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,16,66,19,1161112,1863129,2022,11/12/2022 03:46:21 PM,41.780108365,-87.684886686,"(41.780108365, -87.684886686)"
12782953,JF342712,08/03/2022 01:00:00 PM,025XX W 82ND ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0835,008,18,70,06,1160644,1850176,2022,11/12/2022 03:46:21 PM,41.744573098,-87.686959288,"(41.744573098, -87.686959288)"
12786156,JF347354,08/07/2022 02:53:00 AM,045XX S CICERO AVE,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,true,false,0815,008,22,56,26,1145119,1874204,2022,11/12/2022 03:46:21 PM,41.810815929,-87.743241545,"(41.810815929, -87.743241545)"
12788864,JF350419,08/08/2022 12:00:00 AM,060XX S RUTHERFORD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0812,008,13,64,14,1132443,1863683,2022,11/12/2022 03:46:21 PM,41.782173825,-87.789980846,"(41.782173825, -87.789980846)"
12788522,JF350273,08/09/2022 12:10:00 PM,052XX S MONITOR AVE,0810,THEFT,OVER $500,STREET,false,false,0811,008,14,56,06,1138250,1869367,2022,11/12/2022 03:46:21 PM,41.797669051,-87.76855345,"(41.797669051, -87.76855345)"
12785371,JF346250,08/05/2022 04:00:00 PM,062XX S MULLIGAN AVE,0810,THEFT,OVER $500,STREET,false,false,0812,008,13,64,06,1135151,1862434,2022,11/12/2022 03:46:21 PM,41.778698951,-87.780081816,"(41.778698951, -87.780081816)"
12787729,JF349397,08/08/2022 05:40:00 PM,032XX W 54TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0822,008,14,63,08A,1155766,1868636,2022,11/12/2022 03:46:21 PM,41.795329323,-87.704338396,"(41.795329323, -87.704338396)"
