ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10269170,HY456618,10/10/2015 08:45:00 AM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,RESTAURANT,false,false,0915,11,06,1171668,1884327,2015,02/10/2018 03:50:01 PM,41.838052883,-87.645564858,"(41.838052883, -87.645564858)"
10271105,HY459057,10/12/2015 01:10:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0915,11,06,1171697,1884328,2015,10/19/2015 03:58:42 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10281403,HY469451,10/20/2015 02:40:00 PM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,false,false,0915,11,26,1171697,1884328,2015,03/15/2016 03:51:11 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10283169,HY471219,10/21/2015 06:43:00 PM,007XX W 31ST ST,4625,OTHER OFFENSE,PAROLE VIOLATION,ALLEY,true,false,0914,11,26,1171692,1884328,2015,02/10/2018 03:50:01 PM,41.8380551,-87.645476761,"(41.8380551, -87.645476761)"
10285898,HY473560,10/19/2015 09:00:00 AM,007XX W 31ST ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,SMALL RETAIL STORE,false,false,0915,11,11,1171697,1884328,2015,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10303466,HY491684,11/05/2015 12:00:00 PM,007XX W 31ST ST,0810,THEFT,OVER $500,APARTMENT,false,false,0914,11,06,1171697,1884328,2015,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10321135,HY510672,11/22/2015 01:20:00 AM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,RESTAURANT,true,false,0915,11,08A,1171668,1884327,2015,02/10/2018 03:50:01 PM,41.838052883,-87.645564858,"(41.838052883, -87.645564858)"
10171205,HY359146,07/28/2015 12:55:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0915,11,06,1171697,1884328,2015,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10171359,HY359218,07/28/2015 02:15:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0915,11,06,1171697,1884328,2015,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10218348,HY404855,08/31/2015 03:10:00 PM,007XX W 31ST ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,true,false,0915,11,06,1171970,1884335,2015,02/10/2018 03:50:01 PM,41.838068195,-87.644456449,"(41.838068195, -87.644456449)"
10343711,HY534489,12/12/2015 01:40:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0915,11,06,1171697,1884328,2015,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10363259,HY554973,12/30/2015 01:00:00 PM,007XX W 31ST ST,0890,THEFT,FROM BUILDING,DRUG STORE,false,false,0915,11,06,1171697,1884328,2015,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
12130939,JD326598,08/09/2020 01:30:00 PM,007XX W 31ST ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,OTHER (SPECIFY),false,false,0915,11,11,1171697,1884328,2020,08/16/2020 03:50:14 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10393558,HZ130178,01/27/2016 05:15:00 AM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0915,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10400363,HZ137309,01/30/2016 01:45:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0915,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10401487,HZ137991,02/02/2016 03:28:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,true,false,0915,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10429281,HZ166769,02/22/2016 05:00:00 PM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,0915,11,08A,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10436203,HZ173893,03/04/2016 06:20:00 AM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,true,false,0915,11,26,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10438345,HZ176738,03/04/2016 02:00:00 PM,007XX W 31ST ST,0890,THEFT,FROM BUILDING,OTHER,false,false,0915,11,06,1171678,1884328,2016,02/10/2018 03:50:01 PM,41.838055408,-87.645528134,"(41.838055408, -87.645528134)"
10443679,HZ182054,03/10/2016 01:40:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0915,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10450715,HZ189777,03/16/2016 02:10:00 PM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,OTHER,false,false,0915,11,08A,1171678,1884328,2016,02/10/2018 03:50:01 PM,41.838055408,-87.645528134,"(41.838055408, -87.645528134)"
10458445,HZ197681,03/22/2016 10:00:00 PM,007XX W 31ST ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0914,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10459187,HZ198018,03/23/2016 12:20:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0915,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10472049,HZ211273,03/31/2016 03:02:00 AM,007XX W 31ST ST,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,true,false,0915,11,06,1171697,1884328,2016,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
